 Gender(0=Male;1=Female;) Height Weight GenderxHgt HeightZ WeightZ Shoe_Size Shoe_Number GenderxShoe_Size Year(1=Fresh;2=Soph;3=Jun;4=Sen;5=V5;) Pets Sibs Speed Cash Sleep Mother_age Father_age Random_Number Love(0=V0;1=V1;2=few;3=dozens;4=hundreds;5=thousands;6=millions;) Charity 
V1 0 75 150 0 2.035273369 0.053020328 11 10 0 2 1 1 100 2 5 41 41 2 4 15 
V2 1 67 135 67 0.019652305 -0.428690709 8 16 8 1 0 1 80 27 7.5 45 46 7 3 100 
V3 1 63 125 63 -0.988158226 -0.749831401 7.5 20 7.5 3 15 3 60 2 7 45 49 5 2 25 
V4 1 68 145 68 0.271604938 -0.107550018 9 14 9 2 0 2 90 20 6.5 59 60 7 0 50 
V5 1 65 150 65 -0.48425296 0.053020328 8.5 50 8.5 2 1 1 90 20 7 49 52 5 1 100 
V6 1 66 140 66 -0.232300328 -0.268120364 8 50 8 2 20 3 90 55 6.5 39 42 10 2 10 
V7 1 68 149 68 0.271604938 0.020906259 8.5 15 8.5 2 0 3 90 3 6 53 53 4 2 50 
V8 1 68 172 68 0.271604938 0.75952985 10 22 10 2 1 2 90 45 7.5 49 50 8 2 50 
V9 0 74 155 0 1.783320736 0.213590674 10 6 0 2 1 0 85 5 7.5 50 50 4 1 25 
V10 0 72 163 0 1.27941547 0.470503227 10.5 7 0 4 0 10 53 14 7.5 47 60 7 1 100 
V11 0 75 155 0 2.035273369 0.213590674 12 5 0 2 0 2 82 20 7.5 52 52 7 2 65 
V12 1 69 155 69 0.523557571 0.213590674 9 30 9 2 1 1 105 20 7 57 59 3 5 20 
V13 0 73 184 0 1.531368103 1.14489868 12 6 0 2 3 2 120 15 6.5 50 56 6 2 45 
V14 0 69 160 0 0.523557571 0.37416102 9.5 6 0 1 1 1 95 11 5 54 57 3 2 100 
V15 1 63 107 63 -0.988158226 -1.327884646 6 15 6 2 2 2 75 8 8 54 53 2 2 30 
V16 1 64 150 64 -0.736205593 0.053020328 7.5 62 7.5 2 7 2 101 1000 7.5 45 47 7 4 85 
V17 0 68 166 0 0.271604938 0.566845435 10.5 8 0 3 7 1 90 45 7.5 57 55 7 6 60 
V18 0 72 145 0 1.27941547 -0.107550018 10 3 0 2 0 1 85 50 9 48 49 2 3 40 
V19 0 71 176 0 1.027462837 0.887986127 11 10 0 3 4 1 157 80 5 56 55 7 2 20 
V20 0 74 165 0 1.783320736 0.534731366 13 6 0 3 4 3 125 2 5 56 58 6 2 90 
V21 1 67 110 67 0.019652305 -1.231542439 7.5 10 7.5 2 0 1 100 23 7 49 56 6 5 50 
V22 1 59 105 59 -1.995968758 -1.392112785 5.5 20 5.5 2 0 2 95 25 6 52 56 4 2 100 
V23 0 67 145 0 0.019652305 -0.107550018 10 5 0 2 1 5 100 42 7 53 54 3 2 5 
V24 0 71 190 0 1.027462837 1.337583095 12 10 0 2 5 1 115 10 6.5 47 51 7 3 65 
V25 0 71 197 0 1.027462837 1.562381579 10.5 5 0 2 2 1 110 40 7 54 50 5 3 0 
V26 1 68 120 68 0.271604938 -0.910401747 8 10 8 2 10 3 110 3 6 53 55 4 3 10 
V27 0 69 205 0 0.523557571 1.819294133 10.5 4 0 2 0 1 94 10 8 46 47 4 2 18 
V28 1 67 135 67 0.019652305 -0.428690709 7.5 15 7.5 2 4 2 100 0 7 59 63 6 5 90 
V29 1 68 132 68 0.271604938 -0.525032917 8.5 15 8.5 2 1 3 120 0 7 49 50 6 1 25 
V30 0 67 146 0 0.019652305 -0.075435948 8.5 9 0 3 1 1 60 24 6.5 49 54 7 1 25 
V31 1 63 145 63 -0.988158226 -0.107550018 7.5 22 7.5 2 4 1 122 120 8 47 44 2 1 80 
V32 1 68 150 68 0.271604938 0.053020328 9 30 9 2 3 0 100 140 5 54 60 5 2 10 
V33 1 63 120 63 -0.988158226 -0.910401747 5.5 7 5.5 3 7 1 90 1 6 44 46 2 1 100 
V34 0 71 146 0 1.027462837 -0.075435948 12 9 0 2 5 5 128 12 5 37 35 5 2 100 
V35 1 64 135 64 -0.736205593 -0.428690709 7.5 12 7.5 4 5 2 105 0 6.5 59 57 8 1 50 
V36 1 63 118 63 -0.988158226 -0.974629885 7 12 7 2 1 1 60 38 8.5 41 50 6 1 20 
V37 0 74 170 0 1.783320736 0.695301712 11 6 0 2 0 1 100 40 8 43 45 8 1 0 
V38 0 64 135 0 -0.736205593 -0.428690709 9 4 0 3 0 1 115 400 6 48 49 5 4 50 
V39 1 64 175 64 -0.736205593 0.855872058 8 5 8 3 1 2 90 9 6.5 42 50 6 0 97 
V40 1 67 170 67 0.019652305 0.695301712 8.5 35 8.5 2 2 2 90 25 6 50 57 6 2 50 
V41 0 70 130 0 0.775510204 -0.589261055 11.5 7 0 2 4 4 105 4 5 53 58 7 5 30 
V42 0 68 157 0 0.271604938 0.277818812 8.5 4 0 4 5 2 107 3 6 51 51 8 2 10 
V43 1 62 120 62 -1.240110859 -0.910401747 8 30 8 2 1 2 100 45 8.5 45 45 2 2 99 
V44 1 63 140 63 -0.988158226 -0.268120364 9.5 8 9.5 2 1 2 90 60 8.5 51 55 8 2 100 
V45 1 64 123 64 -0.736205593 -0.814059539 7.5 15 7.5 2 3 2 60 0 7.5 47 47 7 2 70 
V46 0 74 200 0 1.783320736 1.658723787 15 3 0 2 8 1 110 2 7 53 60 5 1 100 
V47 0 74 160 0 1.783320736 0.37416102 11 6 0 2 1 1 110 38 8 47 52 2 3 50 
V48 0 74 190 0 1.783320736 1.337583095 12.5 7 0 2 1 2 120 3 8 45 50 8 0 0 
V49 1 65 126 65 -0.48425296 -0.717717332 7 18 7 2 3 1 50 30 7 48 52 7 2 10 
V50 1 64 132 64 -0.736205593 -0.525032917 8.5 11 8.5 3 5 0 111 11 7 47 52 8 5 15 
V51 1 72 159 72 1.27941547 0.342046951 10 10 10 4 3 2 40 1 5 55 54 4 3 100 
V52 1 59 110 59 -1.995968758 -1.231542439 7 18 7 2 1 1 87 1 7 46 50 7 0 90 
V53 0 72 155 0 1.27941547 0.213590674 11 5 0 2 0 2 90 30 7.5 53 54 7 3 25 
V54 0 72 190 0 1.27941547 1.337583095 11.5 7 0 2 1 2 120 5 7 46 46 4 6 0 
V55 1 65 125 65 -0.48425296 -0.749831401 9 10 9 3 6 3 100 100 6.5 47 57 7 2 95 
V56 1 67 250 67 0.019652305 3.264427246 12 4 12 2 2 4 85 23 7 39 40 5 4 75 
V57 1 64 118 64 -0.736205593 -0.974629885 9 4 9 4 1 3 98 25 6.5 53 54 4 2 95 
V58 1 62 128 62 -1.240110859 -0.653489194 6.5 10 6.5 2 1 0 80 40 7 35 35 5 2 80 
V59 1 67 135 67 0.019652305 -0.428690709 9.5 35 9.5 2 1 2 112 300 7 47 51 9 6 50 
V60 1 63 200 63 -0.988158226 1.658723787 7 30 7 3 0 4 95 10 7.5 46 50 3 2 10 
V61 0 71 148 0 1.027462837 -0.01120781 11 4 0 3 14 2 83 37 7 54 56 9 3 30 
V62 1 68 152 68 0.271604938 0.117248467 10 30 10 2 3 1 90 2 8 51 52 7 2 15 
V63 0 72 205 0 1.27941547 1.819294133 12 4 0 2 2 2 90 20 7 46 49 8 3 25 
V64 1 67 152 67 0.019652305 0.117248467 7.5 70 7.5 2 10 0 120 1 6.5 54 56 2 2 50 
V65 0 72 225 0 1.27941547 2.461575516 11.5 7 0 2 5 5 102 22 5.5 50 48 3 2 50 
V66 0 70 185 0 0.775510204 1.177012749 11 5 0 2 0 0 85 1 7 55 56 2 1 5 
V67 1 68 160 68 0.271604938 0.37416102 9 30 9 2 3 3 115 60 8 54 60 7 2 70 
