 Gender(0=Male;1=Female;) Height Weight Shoe_Size Shoe_Number Year(1=Fresh;2=Soph;3=Jun;4=Sen;5=Grad;) Pets Sibs Speed Cash Sleep Mother_age Father_age Random_Number Love(0=V0;1=V1;2=few;3=dozens;4=hundreds;5=thousands;6=millions;) Charity 
V1 1 68 137 10 30 1 2 2 80 30 4 51 51 5 2 30 
V2 1 64 160 7.5 40 2 6 9 95 200 4 52 60 1 1 60 
V3 1 65 126 4.5 9 2 2 7 100 10 4 40 45 3 1 10 
V4 0 74 300 11 4 3 3 1 127 0 4 45 43 1 6 50 
V5 0 69 165 11.5 20 3 3 1 95 40 4 51 53 10 1 80 
V6 1 64 220 10 6 3 3 4 100 9 4 44 43 8 3 50 
V7 1 64 130 8 12 2 0 2 88 10 4 49 55 5 2 5 
V8 0 72 175 11 2 4 2 2 120 20 4 60 59 8 2 20 
V9 1 61 95 5.5 10 2 0 1 36 20 4.5 47 55 3 2 25 
V10 1 66 175 8.5 13 2 2 4 85 60 4.5 44 60 2 2 50 
V11 0 75 174 12.5 5 2 5 2 120 0 4.5 46 53 1 4 50 
V12 1 66 180 10 10 4 2 0 120 1 4.5 57 59 4 1 5 
V13 1 64 115 7.5 25 2 4 1 93 130 4.5 46 47 9 1 100 
V14 1 64 195 10 6 4 4 3 100 0 4.5 40 44 4 1 96 
V15 0 69 170 10 5 4 2 2 100 7 4.5 44 54 8 5 20 
V16 0 68 150 10.5 5 4 1 2 95 2 4.5 49 56 6 2 20 
V17 1 62 113 7 40 1 0 2 90 400 4.5 52 52 3 2 10 
V18 1 70 159 9.5 29 3 3 2 100 70 4.5 47 49 2 2 100 
V19 1 64 165 9 22 2 3 5 120 6 4.5 44 42 6 1 25 
V20 1 62 86 6 16 4 0 0 86 16 5 49 48 6 1 56 
V21 1 65 152 8.5 13 2 8 2 110 11 5 54 56 6 1 20 
V22 1 64 143 8.5 25 2 3 2 75 1 5 41 43 5 2 75 
V23 0 74 180 13 7 3 0 3 115 0 5 48 63 6 2 20 
V24 1 65 200 7.5 12 2 0 1 65 5 5 51 52 8 2 95 
V25 0 71 160 11 2 1 0 0 85 102 5 52 53 2 2 70 
V26 1 69 266 10 10 2 1 3 60 15 5 47 46 7 1 100 
V27 1 64 115 7.5 30 2 10 4 110 20 5 51 51 6 2 20 
V28 1 66 130 7 15 3 1 2 75 0 5 43 43 6 1 75 
V29 1 65 135 8.5 25 2 2 2 85 50 5 55 57 6 3 100 
V30 0 67 140 10 4 4 1 4 60 0 5 48 50 4 2 50 
V31 1 68 145 8 21 4 15 3 109 6 5 57 55 8 2 50 
V32 1 68 140 10 15 1 0 5 100 6 5 47 48 9 3 75 
V33 1 62 132 7.5 40 2 2 1 90 2 5 41 40 8 3 25 
V34 1 65 130 6.5 15 1 0 1 80 18 5 48 52 3 2 0 
V35 1 68 190 9.5 16 2 1 5 105 70 5 49 38 2 1 50 
V36 1 63 194 10 10 4 0 1 95 1 5 46 50 9 2 100 
V37 0 72 175 12.5 7 2 1 1 92 6 5 51 50 8 2 33 
V38 1 66 130 7 10 2 1 1 95 200 5 40 49 2 2 10 
V39 0 72 178 12 6 1 2 1 122 300 5 49 49 5 2 50 
V40 0 73 155 12 5 1 1 2 110 20 5 50 50 8 1 50 
V41 1 64 144 7.5 16 1 0 1 75 41 5 42 53 5 2 49 
V42 0 72 165 11 4 2 2 1 150 60 5 50 53 3 1 100 
V43 0 68 180 11 7 2 0 2 115 25 5 50 65 10 1 50 
V44 0 74 180 12 10 2 1 2 105 20 5 48 47 3 1 10 
V45 0 66 155 10.5 3 2 1 1 80 50 5 55 57 8 1 25 
V46 1 65 120 7 8 3 10 3 95 90 5 47 50 4 3 75 
V47 1 62 140 7 100 4 0 0 110 100 5 49 49 4 2 5 
V48 0 70 175 10.5 4 2 0 0 130 32 5 52 53 7 2 42 
V49 1 60 115 7 12 2 2 1 100 60 5 47 50 5 2 10 
V50 1 66 156 9 12 2 0 3 95 18 5 42 49 4 1 94 
V51 1 62 119 5 12 3 0 0 35 6 5 48 48 3 2 30 
V52 1 62 125 7.5 25 4 2 1 90 0 5 40 54 5 2 50 
V53 1 66 125 8 20 1 0 0 20 60 5 48 47 9 2 30 
V54 0 70 145 9.5 4 2 1 2 85 75 5.5 49 53 8 2 25 
V55 0 75 243 13 4 4 0 1 91 0 5.5 49 49 10 6 100 
V56 1 61 100 7 3 2 0 1 90 65 5.5 54 49 6 2 90 
V57 1 63 113 8 40 2 2 3 80 13 5.5 38 38 3 2 30 
V58 1 64 152 8.5 8 3 1 2 95 9 5.5 46 53 8 1 80 
V59 1 68 155 8.5 19 2 5 2 150 1 5.5 50 55 4 2 50 
V60 1 69 140 9 14 2 7 2 85 0 5.5 64 64 8 2 30 
V61 0 72 150 10.5 13 4 3 2 95 69 5.5 41 48 4 2 100 
V62 1 67 168 9.5 60 5 4 1 110 0 5.5 59 57 4 2 40 
V63 0 70 194 12.5 9 1 0 2 98 27 5.5 52 53 3 1 100 
V64 1 64 107 7.5 15 1 3 2 85 1 5.5 52 53 8 2 75 
V65 0 65 189 11 2 2 0 3 99 0 5.5 47 45 2 1 100 
V66 0 72 164 12 10 3 12 2 116 5 5.5 42 45 10 3 50 
V67 0 66 150 8.5 5 1 0 1 97 0 6 43 44 4 1 50 
V68 1 63 127 7 20 1 0 3 102 100 6 51 54 4 2 55 
V69 1 64 145 7 30 2 0 3 85 300 6 43 48 8 2 100 
V70 1 64 128 5 15 4 2 0 75 140 6 50 54 7 0 30 
V71 1 64 130 8 12 1 0 1 60 300 6 43 50 5 2 100 
V72 1 66 118 7.5 53 1 0 1 80 17 6 57 60 6 3 25 
V73 0 73 190 12 4 1 0 2 120 102 6 49 52 5 2 100 
V74 0 69 240 12 9 2 2 2 90 0 6 47 51 1 1 75 
V75 0 72 215 12 15 1 2 2 90 150 6 63 65 7 1 50 
V76 1 63 161 8 20 2 4 4 85 7 6 39 41 3 2 10 
V77 0 82 176 11.5 5 3 0 1 110 66 6 50 53 2 3 25 
V78 0 67 135 7.5 5 2 1 1 96 70 6 48 48 10 3 100 
V79 0 72 265 14 6 1 10 2 120 12 6 46 45 7 2 75 
V80 1 64 130 6 40 2 6 0 100 60 6 51 54 2 2 50 
V81 0 65 135 9.5 10 2 0 2 110 0 6 50 51 6 3 25 
V82 1 64 128 7.5 8 2 1 5 90 22 6 40 40 6 2 75 
V83 1 64 158 8.5 5 1 0 2 86 42 6 62 62 2 2 95 
V84 1 63 105 8 20 4 0 1 105 150 6 44 51 10 2 95 
V85 1 60 125 4 20 2 4 3 80 0 6 40 42 9 1 99 
V86 1 66 150 8.5 60 2 0 2 78 200 6 40 41 10 1 80 
V87 1 65 158 11 11 2 0 2 76 200 6 47 58 3 2 40 
V88 0 67 130 10 3 1 0 1 65 95 6 40 45 1 5 45 
V89 1 65 140 7.5 20 2 1 2 85 150 6 55 55 7 2 75 
V90 1 65 120 7.5 16 2 0 0 90 400 6 45 47 8 2 1 
V91 0 71 180 11.5 4 4 2 3 110 3 6 53 52 4 4 50 
V92 1 62 114 6 30 1 3 3 55 300 6 55 55 4 1 60 
V93 1 72 165 11 20 1 3 4 85 30 6 45 46 3 2 50 
V94 1 67 165 8.5 25 2 0 2 60 0 6 47 49 3 1 50 
V95 1 64 130 8.5 22 4 4 2 108 0 6 51 51 2 4 100 
V96 0 77 157 11.5 5 1 0 2 73 200 6 45 46 3 6 100 
V97 0 69 145 10 6 1 0 1 115 26 6 53 47 8 2 50 
V98 1 63 135 8 20 1 4 1 95 35 6 52 65 4 1 10 
V99 1 68 140 8.5 35 3 4 2 90 9 6 56 58 4 2 50 
V100 0 74 175 13 4 1 0 0 100 35 6 49 53 4 2 80 
V101 1 62 131 8 10 2 0 2 85 5 6 53 54 5 2 100 
V102 1 70 150 10.5 31 3 1 2 92 46 6 51 55 2 6 95 
V103 1 59 102 6 13 2 4 3 70 20 6 35 40 8 2 50 
V104 1 63 118 7 18 3 0 0 75 200 6 45 55 5 3 0 
V105 1 68 140 8.5 6 2 23 2 110 100 6 50 50 8 3 60 
V106 1 62 130 8.5 10 2 0 3 85 16 6 52 54 6 3 80 
V107 1 63 110 6 40 4 0 1 100 105 6 48 51 8 2 100 
V108 1 64 106 8.5 10 3 1 3 100 17 6 47 43 3 1 50 
V109 1 65 142 9 30 3 3 4 120 4 6 45 65 8 1 40 
V110 1 67 115 6 10 3 0 1 50 20 6 50 52 3 2 10 
V111 0 69 135 9.5 4 2 0 1 95 8 6 51 53 4 1 70 
V112 0 71 125 10 6 4 5 2 90 10 6 54 58 4 2 80 
V113 0 74 184 13.5 7 2 10 1 85 2 6 52 53 5 2 100 
V114 0 70 188 10.5 12 2 0 2 110 50 6 43 43 5 3 100 
V115 1 63 100 6.5 20 4 2 1 102 3 6 48 55 6 1 5 
V116 1 64 97 6.5 15 2 0 2 65 33 6 46 53 3 1 100 
V117 1 62 115 6 10 1 1 2 70 20 6 41 45 4 2 20 
V118 1 63 145 7.5 5 4 3 1 85 45 6 51 58 9 1 50 
V119 1 63 190 7.5 34 1 0 2 90 61 6 53 55 4 4 35 
V120 1 59 118 7 11 3 10 6 95 25 6 46 48 9 1 90 
V121 0 70 165 9.5 10 2 2 2 60 0 6 36 39 6 2 70 
V122 0 68 144 10 4 4 1 0 101 0 6 53 54 2 4 89 
V123 1 65 180 8.5 20 2 3 2 106 44 6 53 53 4 1 75 
V124 1 66 143 9 14 1 1 2 87 48 6 52 51 3 3 80 
V125 1 66 128 7.5 20 1 0 2 70 40 6 49 49 3 1 50 
V126 1 60 93 5.5 12 2 4 6 80 0 6 59 59 8 2 100 
V127 1 64 125 8 15 3 4 1 90 700 6 49 49 3 1 90 
V128 1 64 189 8 20 3 8 3 77 60 6 54 54 4 1 50 
V129 0 74 220 12 8 1 0 0 110 100 6 46 45 7 1 95 
V130 1 65 125 6.5 13 2 4 2 80 0 6 51 50 1 2 100 
V131 1 61 207 9 30 3 0 2 120 0 6 51 55 3 2 33 
V132 1 63 142 8.5 30 2 1 0 85 23 6 46 46 6 4 50 
V133 1 67 135 9 25 1 0 1 80 100 6 48 48 9 2 50 
V134 1 63 140 8 15 3 2 2 75 12 6 52 52 9 1 100 
V135 1 60 110 6 5 1 1 3 75 50 6 52 59 6 1 98 
V136 1 63 120 7.5 15 2 3 5 20 30 6 50 55 9 2 70 
V137 1 62 125 6.5 18 3 2 5 95 21 6 42 40 1 0 50 
V138 1 62 130 8 25 2 8 1 90 100 6 47 50 8 2 50 
V139 1 65 127 8.5 5 3 15 1 46 900 6 49 54 4 2 40 
V140 1 64 105 5.5 10 1 0 1 60 30 6 47 49 8 2 30 
V141 1 64 125 6.5 13 1 6 1 60 300 6 56 61 4 2 85 
V142 1 64 105 6.5 20 2 0 1 85 80 6 55 63 3 2 50 
V143 1 70 185 10 40 2 4 2 94 40 6 49 49 3 2 90 
V144 1 66 130 8 9 2 5 2 70 20 6 48 55 3 2 25 
V145 1 64 153 7.5 25 2 3 5 82 8 6 52 52 8 1 90 
V146 1 60 131 7.5 13 4 0 1 100 25 6 44 50 8 2 50 
V147 1 65 160 8.5 15 1 0 2 90 100 6 54 52 2 2 50 
V148 0 69 186 11.5 5 4 1 2 80 30 6 53 55 9 2 100 
V149 1 62 115 7.5 20 1 0 6 110 30 6 53 55 6 2 50 
V150 1 62 99 6.5 22 2 0 1 36 50 6 45 46 3 2 20 
V151 0 74 168 11.5 6 1 0 3 80 40 6 49 51 5 2 60 
V152 1 65 123 9 20 1 3 2 95 54 6 49 50 5 1 5 
V153 0 70 150 10 8 2 3 2 120 60 6 42 44 9 3 20 
V154 1 65 125 7.5 40 2 0 2 75 20 6 49 50 9 1 25 
V155 1 63 125 7.5 35 3 1 2 90 40 6 49 52 8 1 5 
V156 1 65 130 7 30 4 0 2 95 31 6 56 60 7 1 100 
V157 1 61 120 6 20 2 2 1 115 0 6 51 53 4 1 100 
V158 1 64 165 8.5 20 2 3 5 80 25 6 37 38 4 1 50 
V159 1 62 145 7 10 2 0 1 120 7 6 41 45 6 2 95 
V160 0 70 190 12 6 1 0 1 110 10 6 50 50 6 2 40 
V161 1 67 175 12 9 1 1 4 95 14 6 53 59 1 1 99 
V162 1 63 138 8.5 16 3 1 3 90 28 6 50 53 7 2 90 
V163 1 62 140 8 5 2 0 2 100 300 6 48 56 2 1 88 
V164 0 71 160 11 12 2 1 3 95 19 6 56 59 5 6 80 
V165 1 67 135 8.5 17 4 2 0 100 0 6 60 59 4 2 45 
V166 0 67 155 10 5 2 5 4 100 13 6 51 54 2 2 80 
V167 1 64 118 7.5 20 2 8 2 88 12 6 49 52 5 1 50 
V168 1 59 96 6 25 1 2 1 80 100 6 41 41 6 2 58 
V169 0 73 150 10.5 6 1 1 1 90 32 6 43 45 4 1 70 
V170 1 66 130 8.5 13 1 2 2 80 50 6 53 59 2 1 50 
V171 1 64 120 7.5 10 2 0 1 70 150 6 48 54 8 1 50 
V172 1 62 177 6.5 20 2 0 1 70 300 6 52 51 7 2 40 
V173 1 63 111 7 30 4 7 1 110 0 6 54 54 1 2 20 
V174 0 70 179 11.5 7 2 1 2 130 100 6 54 58 6 1 30 
V175 1 67 158 9.5 31 3 3 2 105 10 6.5 39 42 4 1 0 
V176 1 65 143 7.5 12 1 1 0 72 3 6.5 56 65 3 2 20 
V177 1 65 125 8.5 10 1 1 2 80 150 6.5 40 44 3 2 50 
V178 1 64 125 8.5 20 1 3 2 90 0 6.5 49 49 5 1 70 
V179 0 64 140 8 6 2 1 1 100 88 6.5 50 51 9 3 10 
V180 1 65 130 8.5 15 4 4 3 80 0 6.5 51 61 7 2 10 
V181 0 73 155 11 18 2 11 2 95 2 6.5 56 63 4 2 100 
V182 1 64 120 7.5 3 4 0 1 75 5 6.5 57 61 3 2 50 
V183 1 65 115 6.5 10 2 4 1 80 50 6.5 49 52 2 1 100 
V184 0 69 175 10.5 4 1 0 0 140 2 6.5 59 57 5 1 99 
V185 1 66 140 8 38 1 1 3 92 14 6.5 53 52 2 2 95 
V186 1 65 149 7.5 50 2 4 1 89 10 6.5 45 54 8 1 100 
V187 1 71 150 9.5 15 3 1 2 70 10 6.5 51 50 5 2 50 
V188 1 60 105 5 10 2 1 3 80 0 6.5 38 42 3 2 89 
V189 1 68 112 7.5 26 2 2 1 80 46 6.5 48 49 5 2 44 
V190 1 62 132 6.5 20 2 0 4 45 18 6.5 53 46 10 1 50 
V191 1 66 135 8 15 2 2 1 95 5 6.5 53 56 8 2 99 
V192 0 73 160 11.5 4 3 3 2 80 40 6.5 55 55 9 2 70 
V193 0 75 157 10.5 9 2 2 0 90 42 6.5 52 54 9 3 70 
V194 1 63 108 6 25 1 0 2 101 40 6.5 45 52 8 3 30 
V195 1 62 139 7 11 3 6 1 109 105 6.5 53 54 2 1 11 
V196 1 66 151 9.5 20 2 0 4 87 24 6.5 48 53 10 1 66 
V197 1 62 120 7 25 1 2 1 95 3 6.5 47 48 4 2 80 
V198 1 62 150 7.5 20 4 3 1 100 20 6.5 42 47 5 1 10 
V199 1 63 140 7.5 14 2 0 2 90 7 6.5 48 47 9 1 50 
V200 1 70 150 9.5 15 3 8 3 110 10 6.5 54 55 8 2 60 
V201 1 63 130 8.5 11 2 0 3 40 20 6.5 45 45 3 3 75 
V202 1 68 170 11 12 1 0 1 65 30 6.5 55 55 2 2 50 
V203 0 74 180 13 5 2 0 3 105 200 6.5 48 49 8 1 30 
V204 1 64 128 7 30 2 0 1 84 65 6.5 50 52 9 1 98 
V205 0 69 166 9.5 5 2 1 3 90 9 6.5 44 44 5 2 10 
V206 1 63 130 6.5 23 1 4 4 95 18 6.5 47 49 8 2 20 
V207 0 67 225 9.5 10 2 3 2 150 700 6.5 44 53 6 3 100 
V208 1 62 130 7 25 2 8 1 105 0 6.5 53 55 4 2 35 
V209 0 68 128 9.5 4 4 2 2 90 65 6.5 55 55 8 2 75 
V210 1 63 110 6.5 25 2 0 2 75 59 6.5 53 61 3 2 30 
V211 0 76 170 13 3 4 2 0 90 40 6.5 57 59 6 2 50 
V212 0 62 135 9.5 5 3 0 5 100 60 6.5 38 46 7 2 50 
V213 0 72 180 11 3 1 0 3 90 21 6.5 51 51 1 2 98 
V214 0 70 138 9.5 5 4 2 1 100 20 6.5 48 51 8 0 10 
V215 0 70 125 11.5 4 2 0 2 125 0 6.5 49 48 4 1 50 
V216 0 72 170 10.5 8 2 6 1 130 26 6.5 52 60 7 2 10 
V217 0 75 175 11.5 4 3 2 2 115 50 6.5 56 58 1 2 10 
V218 1 68 211 11 24 4 1 1 95 0 6.5 51 55 7 2 15 
V219 1 64 138 7 10 4 0 2 85 2 6.5 43 52 6 2 50 
V220 0 67 130 10.5 6 1 0 3 95 25 6.5 39 42 1 2 50 
V221 1 62 112 7.5 12 2 1 2 80 12 6.5 53 65 7 2 50 
V222 1 63 98 6 9 2 0 2 70 38 6.5 49 50 4 3 80 
V223 1 67 154 8 25 4 0 2 90 25 6.5 60 61 3 1 30 
V224 0 68 177 10.5 6 2 0 1 107 5 6.5 51 53 8 1 100 
V225 0 75 178 11.5 7 2 6 1 95 1 6.5 44 43 8 1 90 
V226 1 60 134 6.5 12 3 2 1 90 11 6.5 47 54 4 5 40 
V227 1 67 130 7.5 26 1 0 1 110 28 6.5 49 51 4 2 50 
V228 0 69 150 9.5 4 3 0 0 100 20 6.5 51 54 7 2 75 
V229 0 70 150 11 5 3 2 4 97 6 7 54 52 10 4 50 
V230 1 64 160 8.5 15 3 2 4 90 10 7 53 53 8 2 50 
V231 1 62 125 6 30 1 0 0 80 20 7 50 56 6 4 80 
V232 0 72 170 12 10 2 0 5 115 400 7 53 59 6 2 30 
V233 0 70 135 10 8 1 1 1 100 0 7 49 55 4 4 25 
V234 1 67 155 8.5 35 1 5 1 90 13 7 55 55 2 5 60 
V235 1 63 120 7 20 2 2 1 80 500 7 41 46 5 1 90 
V236 1 64 105 6.5 7 1 1 0 20 74 7 54 55 4 1 75 
V237 0 71 155 10.5 10 4 2 1 95 72 7 49 51 8 5 60 
V238 1 69 170 9.5 20 2 2 3 95 0 7 50 50 9 2 40 
V239 1 63 144 8 34 4 3 5 90 10 7 42 44 8 1 100 
V240 1 70 156 9.5 20 4 6 1 88 80 7 55 56 8 2 50 
V241 1 63 130 6 30 2 1 1 95 80 7 50 48 4 3 50 
V242 1 68 190 10 25 4 4 1 85 9 7 48 49 9 2 50 
V243 1 63 170 7.5 16 1 1 0 70 120 7 52 56 9 5 30 
V244 1 70 139 9.5 8 2 0 1 96 0 7 47 48 2 4 100 
V245 0 70 155 9.5 8 1 0 1 100 40 7 45 50 1 1 50 
V246 0 71 150 9 6 2 0 1 122 25 7 48 58 7 2 100 
V247 1 65 130 7 10 1 3 2 100 20 7 51 53 6 2 75 
V248 1 62 140 7.5 23 1 0 2 88 0 7 53 52 3 3 95 
V249 0 74 200 12.5 4 4 1 2 115 32 7 44 44 6 2 50 
V250 1 66 130 9 9 1 3 5 90 25 7 54 55 5 2 80 
V251 1 64 113 6.5 50 2 2 2 85 97 7 51 52 8 1 85 
V252 0 72 146 10 5 2 1 1 50 25 7 54 53 1 1 85 
V253 1 70 190 11 31 2 0 3 85 50 7 51 52 6 2 45 
V254 1 63 128 6 8 1 0 2 90 50 7 49 49 9 2 80 
V255 1 63 145 7.5 2 1 1 2 45 110 7 47 55 6 0 17 
V256 0 65 120 8 3 1 0 1 90 31 7 50 53 6 1 20 
V257 0 72 200 12.5 5 2 0 2 120 20 7 50 52 6 1 50 
V258 1 64 118 8 35 1 2 2 105 40 7 50 49 10 1 0 
V259 1 65 130 8 10 2 20 3 90 15 7 38 42 7 2 50 
V260 0 68 135 9.5 2 2 4 1 105 0 7 45 49 1 3 5 
V261 1 63 131 7 15 2 3 5 110 0 7 35 35 6 1 45 
V262 1 63 130 6.5 30 3 1 2 95 0 7 56 50 8 2 20 
V263 1 65 125 7.5 25 1 1 4 90 8 7 58 65 2 3 75 
V264 0 72 175 10.5 8 3 2 2 85 25 7 45 47 8 2 75 
